-1.8700587,2.1067327,3.5038849
-1.9269034,1.9182743,3.1664332
-1.9772685,1.7278633,3.1539587
-1.9940962,1.5312775,3.1414347
-2.0041698,1.3338146,3.2392451
-2.0076606,1.1374749,2.8159552
-1.9828572,0.9384706,2.5551007
-1.9084779,0.7575802,2.5450346
-1.7820418,0.6070033,2.5349286
-1.6421423,0.4669730,2.9102781
-1.4969164,0.3329459,3.2399652
-1.3429375,0.2092664,3.3500161
-1.1862061,0.0883576,2.9629153
-1.0158220,-0.0097543,2.9512426
-0.8268757,-0.0644012,2.9395236
-0.6290089,-0.0923330,3.2660525
-0.4325783,-0.1089433,3.5605250
-0.2343489,-0.1256338,3.8303582
-0.0380829,-0.1421522,4.0804588
0.1585950,-0.1570433,4.3142742
0.3561586,-0.1713255,4.5343381
0.5526396,-0.1852601,4.7425783
0.7495566,-0.1990682,4.9405024
0.9464079,-0.2128793,5.1293165
1.1433603,-0.2267211,5.3100040
1.3409115,-0.2403434,5.2596403
1.5373087,-0.2533499,4.7884097
1.7346109,-0.2665972,4.2850726
1.9325210,-0.2780223,3.8088609
2.1285745,-0.2843236,3.2732869
2.3290813,-0.2899114,2.6193342
2.5261592,-0.2792289,2.6090151
2.7096150,-0.2114518,2.5986550
2.8801229,-0.1104658,2.9655135
3.0490025,-0.0088067,3.2892786
3.2122936,0.1030935,3.1189419
3.3601500,0.2337937,2.8677222
3.4780960,0.3908555,2.8564245
3.5548604,0.5735231,2.8450820
3.6118274,0.7645465,3.1819996
3.6443246,0.9584562,3.4842010
3.6525165,1.1557427,3.6671906
3.6586072,1.3515682,3.9289290
3.6606268,1.5488095,4.1723998
3.6633158,1.7466446,4.3948784
3.6650060,1.9434067,3.8988178
3.6671767,2.1403241,3.6112696
3.6508137,2.3375685,3.2991628
3.6110509,2.5301095,3.0632530
3.5671796,2.7242185,2.5633784
3.5339257,2.9222754,2.4393119
3.4410614,3.0876717,2.4297020
3.2861867,3.2144237,2.4200539
3.1406841,3.3495663,2.8115881
2.9903955,3.4753283,3.1523260
2.8228754,3.5813134,3.4448093
2.6498404,3.6774049,3.6538185
2.4755506,3.7704109,3.3268687
2.2927059,3.8423497,3.3137621
2.0980317,3.8772520,3.3006036
1.8994095,3.8912325,3.5919946
1.7028051,3.9010857,3.8593973
1.5066392,3.9090846,4.1075147
1.3090156,3.9090322,4.3396704
1.1127279,3.9093268,4.5583174
0.9151965,3.9101262,4.5688824
0.7157201,3.9096555,4.0312074
0.5203933,3.9079449,3.4031530
0.3203219,3.9043299,2.8671766
0.1240292,3.8820671,2.8558811
-0.0596189,3.8137269,2.8445407
-0.2390710,3.7282813,3.1815195
-0.4217484,3.6519412,3.4837660
-0.5918824,3.5532375,3.6420765
-0.7500630,3.4349180,3.8322263
-0.9133283,3.3207138,4.0494832
-1.0698698,3.2013453,3.6028566
-1.2208286,3.0751559,3.2706699
-1.3795159,2.9534108,3.2577848
-1.5065453,2.8045673,3.2448485
-1.6030460,2.6312321,3.2704703
-1.7051230,2.4645734,3.5645458
-1.7994255,2.2905295,3.8340665
-1.8700587,2.1067327,3.5038849
