-1.9732889,1.9799499,2.3520063
-1.8861995,2.1563952,2.5536785
-1.7928073,2.3303781,2.7123586
-1.6890896,2.5019982,2.8310069
-1.5754302,2.6667341,2.9031910
-1.4529695,2.8220599,2.8929577
-1.3185466,2.9714937,2.8634221
-1.1767824,3.1097862,2.8279821
-1.0250824,3.2398449,2.7916112
-0.8659250,3.3595069,2.7538665
-0.6992672,3.4688630,2.7344887
-0.5259772,3.5673567,2.7278335
-0.3467206,3.6546393,2.7356782
-0.1626811,3.7303093,2.7485306
0.0265406,3.7947113,2.8150842
0.2176625,3.8477704,2.8897324
0.4134303,3.8912802,2.9878440
0.6091551,3.9250231,3.0877972
0.8072076,3.9501092,3.1927081
1.0061955,3.9666884,3.2582441
1.2028720,3.9747866,3.2941763
1.4039894,3.9743581,3.1696299
1.6018172,3.9643845,3.0391752
1.7984216,3.9432794,2.9078639
1.9940271,3.9091576,2.7842663
2.1862128,3.8613668,2.6829331
2.3757960,3.7983697,2.6005619
2.5585356,3.7200668,2.5461218
2.7335373,3.6258922,2.5042703
2.9001972,3.5153082,2.4700653
3.0546468,3.3904322,2.4511584
3.1971499,3.2510630,2.4222590
3.3257202,3.0988344,2.3840764
3.4389667,2.9349806,2.3374143
3.5352692,2.7607220,2.3136846
3.6138607,2.5777156,2.3663362
3.6761951,2.3881946,2.4559294
3.7241417,2.1958674,2.5693840
3.7609108,1.9990216,2.7014565
3.7868755,1.8016143,2.7708571
3.8022394,1.6042278,2.7634919
3.8062361,1.4040165,2.6363328
3.7970601,1.2052888,2.5086079
3.7732226,1.0086512,2.3895853
3.7328612,0.8137437,2.2914344
3.6743071,0.6240144,2.2200602
3.5963864,0.4415284,2.1501641
3.4973799,0.2686494,2.0792570
3.3764908,0.1107385,2.0293752
3.2339275,-0.0274452,2.0406939
3.0718184,-0.1428228,2.0625578
2.8938872,-0.2330939,2.0777601
2.7061898,-0.2964426,2.0924848
2.5108921,-0.3333219,2.1121868
2.3113111,-0.3450224,2.1379293
2.1132568,-0.3350422,2.2214883
1.9153277,-0.3088005,2.3400031
1.7193749,-0.2728498,2.4958222
1.5236154,-0.2339447,2.6864911
1.3280522,-0.1978545,2.8378439
1.1312449,-0.1693286,2.9164987
0.9334471,-0.1521858,2.9313861
0.7348556,-0.1465746,2.9224061
0.5359492,-0.1525040,2.8875160
0.3388133,-0.1710829,2.7848836
0.1398085,-0.1978427,2.6700293
-0.0575302,-0.2242878,2.6539777
-0.2566153,-0.2411584,2.6459099
-0.4554338,-0.2426797,2.6489110
-0.6544665,-0.2288053,2.6398782
-0.8506649,-0.1994472,2.6233200
-1.0449140,-0.1537071,2.5811978
-1.2339758,-0.0914001,2.5238084
-1.4159403,-0.0128425,2.4529270
-1.5913976,0.0827671,2.3417666
-1.7555888,0.1950720,2.2156198
-1.9049071,0.3253609,2.0732014
-2.0352277,0.4764245,1.9575661
-2.1383568,0.6463650,1.8485664
-2.2062161,0.8327595,1.7690096
-2.2331729,1.0302012,1.8528129
-2.2238547,1.2307086,1.9314741
-2.1864384,1.4259601,2.0023808
-2.1294475,1.6147684,2.0578889
-2.0575122,1.7989715,2.0857373
-1.9732889,1.9799499,2.3520063
