TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
13.6,11.0307,10,657.296,0.10576
13.7,11.0413,10,653.067,0.101001
13.8,11.0514,10,648.901,0.0963304
13.9,11.061,10,644.798,0.0917459
14,11.0702,10,640.758,0.087247
14.1,11.0789,10,636.779,0.0828326
14.2,11.0872,10,632.863,0.0785017
14.3,11.0951,10,629.007,0.0742535
14.4,11.1025,10,625.212,0.0700869
14.5,11.1095,10,621.476,0.066001
14.6,11.1161,10,617.8,0.0619948
14.7,11.1223,10,614.183,0.0580673
14.8,11.1281,10,610.623,0.0542177
14.9,11.1335,10,607.122,0.050445
15,11.1386,10,603.677,0.0467482
15.1,11.1433,10,600.289,0.0431264
15.2,11.1476,10,596.957,0.0395788
15.3,11.1515,10,593.68,0.0361042
15.4,11.1551,10,590.459,0.032702
15.5,11.1584,10,587.291,0.029371
15.6,11.1613,10,584.178,0.0261105
15.7,11.164,10,581.117,0.0229195
15.8,11.1662,10,578.109,0.0197971
15.9,11.1682,10,575.154,0.0167425
16,11.1699,10,572.25,0.0137547
16.1,11.1713,10,569.397,0.0108329
16.2,11.1724,10,566.594,0.00797617
16.3,11.1732,10,563.841,0.00518367
16.4,11.1737,10,561.138,0.00245453
16.5,11.1739,10,558.484,-0.000212103
16.6,11.1739,10,555.878,-0.00281708
16.7,11.1736,10,553.32,-0.00536126
16.8,11.1731,10,550.809,-0.00784546
16.9,11.1723,10,548.344,-0.0102705
17,11.1713,10,545.926,-0.0126373
17.1,11.17,10,543.554,-0.0149465
17.2,11.1685,10,541.226,-0.0171991
17.3,11.1668,10,538.944,-0.0193959
17.4,11.1649,10,536.705,-0.0215375
17.5,11.1627,10,534.51,-0.0236249
17.6,11.1603,10,532.358,-0.0256589
17.7,11.1578,10,530.248,-0.0276401
17.8,11.155,10,528.181,-0.0295694
17.9,11.152,10,526.155,-0.0314476
18,11.1489,10,524.17,-0.0332754
18.1,11.1456,10,522.225,-0.0350535
18.2,11.1421,10,520.321,-0.0367828
18.3,11.1384,10,518.456,-0.0384639
18.4,11.1345,10,516.63,-0.0400977
18.5,11.1305,10,514.842,-0.0416848
18.6,11.1264,10,513.092,-0.043226
18.7,11.122,10,511.38,-0.0447219
18.8,11.1176,10,509.705,-0.0461734
18.9,11.113,10,508.067,-0.047581
19,11.1082,10,506.464,-0.0489456
19.1,11.1033,10,504.897,-0.0502677
19.2,11.0983,10,503.366,-0.0515482
19.3,11.0931,10,501.868,-0.0527876
19.4,11.0878,10,500.405,-0.0539866
19.5,11.0824,10,498.976,-0.0551459
19.6,11.0769,10,497.58,-0.0562662
19.7,11.0713,10,496.217,-0.057348
19.8,11.0656,10,494.886,-0.0583922
19.9,11.0597,10,493.587,-0.0593992
20,11.0538,10,492.32,-0.0603697
20.1,11.0478,10,491.083,-0.0613045
20.2,11.0416,10,489.877,-0.0622039
20.3,11.0354,10,488.701,-0.0630688
20.4,11.0291,10,487.555,-0.0638997
20.5,11.0227,10,486.438,-0.0646972
20.6,11.0162,10,485.35,-0.0654618
20.7,11.0097,10,484.29,-0.0661943
20.8,11.0031,10,483.258,-0.0668951
20.9,10.9964,10,482.254,-0.0675648
21,10.9896,10,481.277,-0.0682041
21.1,10.9828,10,480.327,-0.0688134
21.2,10.9759,10,479.403,-0.0693933
21.3,10.969,10,478.505,-0.0699445
21.4,10.962,10,477.632,-0.0704673
21.5,10.9549,10,476.785,-0.0709624
21.6,10.9478,10,475.962,-0.0714303
21.7,10.9407,10,475.164,-0.0718714
21.8,10.9335,10,474.389,-0.0722864
21.9,10.9263,10,473.638,-0.0726758
22,10.919,10,472.911,-0.07304
22.1,10.9117,10,472.206,-0.0733795
22.2,10.9044,10,471.524,-0.0736949
22.3,10.897,10,470.864,-0.0739867
22.4,10.8896,10,470.225,-0.0742552
22.5,10.8822,10,469.608,-0.074501
22.6,10.8747,10,469.012,-0.0747246
22.7,10.8673,10,468.437,-0.0749264
22.8,10.8598,10,467.881,-0.0751068
22.9,10.8523,10,467.346,-0.0752664
23,10.8447,10,466.831,-0.0754056
23.1,10.8372,10,466.335,-0.0755248
23.2,10.8296,10,465.857,-0.0756245
23.3,10.8221,10,465.399,-0.075705
23.4,10.8145,10,464.958,-0.0757669
