# x_m,y_m,w_tr_right_m,w_tr_left_m
4.1800,-2.0500,1.0689,1.0689
4.2300,-2.1000,1.0308,1.0308
4.2800,-2.1500,0.9962,0.9962
4.2800,-2.2000,1.0050,1.0050
4.2800,-2.2500,1.0112,1.0112
4.2800,-2.3000,1.0198,1.0198
4.3300,-2.3500,0.9657,0.9657
4.3300,-2.4000,0.9487,0.9487
4.2800,-2.4500,0.9823,0.9823
4.2800,-2.5000,0.9708,0.9708
4.3300,-2.5500,0.9124,0.9124
4.3300,-2.6000,0.9055,0.9055
4.3300,-2.6500,0.9014,0.9014
4.3300,-2.7000,0.9000,0.9000
4.3300,-2.7500,0.8860,0.8860
4.3300,-2.8000,0.8732,0.8732
4.3800,-2.8500,0.8139,0.8139
4.3800,-2.9000,0.8062,0.8062
4.3800,-2.9500,0.8016,0.8016
4.3800,-3.0000,0.8000,0.8000
4.3800,-3.0500,0.8000,0.8000
4.3800,-3.1000,0.8000,0.8000
4.3800,-3.1500,0.8000,0.8000
4.3800,-3.2000,0.8000,0.8000
4.3300,-3.2500,0.7566,0.7566
4.3300,-3.3000,0.7517,0.7517
4.3300,-3.3500,0.7500,0.7500
4.3300,-3.4000,0.7500,0.7500
4.3300,-3.4500,0.7500,0.7500
4.3300,-3.5000,0.7500,0.7500
4.3300,-3.5500,0.7517,0.7517
4.3300,-3.6000,0.7566,0.7566
4.3300,-3.6500,0.7649,0.7649
4.3300,-3.7000,0.7762,0.7762
4.3300,-3.7500,0.7906,0.7906
4.2800,-3.8000,0.7500,0.7500
4.2800,-3.8500,0.7500,0.7500
4.2800,-3.9000,0.7517,0.7517
4.2800,-3.9500,0.7566,0.7566
4.2300,-4.0000,0.7159,0.7159
4.2300,-4.0500,0.7280,0.7280
4.2300,-4.1000,0.7433,0.7433
4.2300,-4.1500,0.7616,0.7616
4.1800,-4.2000,0.7382,0.7382
4.1800,-4.2500,0.7616,0.7616
4.1800,-4.3000,0.7632,0.7632
4.1300,-4.3500,0.7616,0.7616
4.1300,-4.4000,0.7616,0.7616
4.0800,-4.4500,0.7616,0.7616
4.0800,-4.5000,0.7762,0.7762
4.0300,-4.5500,0.7632,0.7632
4.0300,-4.6000,0.7810,0.7810
3.9800,-4.6500,0.7778,0.7778
3.9300,-4.7000,0.7778,0.7778
3.8800,-4.7500,0.7810,0.7810
3.8300,-4.8000,0.7906,0.7906
3.7800,-4.8500,0.8062,0.8062
3.7300,-4.9000,0.8139,0.8139
3.6800,-4.9000,0.7906,0.7906
3.6300,-4.9500,0.8062,0.8062
3.5800,-5.0000,0.8276,0.8276
3.5300,-5.0500,0.8485,0.8485
3.4800,-5.0500,0.8322,0.8322
3.4300,-5.1000,0.8500,0.8500
3.3800,-5.1000,0.8276,0.8276
3.3300,-5.1500,0.8544,0.8544
3.2800,-5.1500,0.8382,0.8382
3.2300,-5.1500,0.8246,0.8246
3.1800,-5.2000,0.8631,0.8631
3.1300,-5.2000,0.8559,0.8559
3.0800,-5.2000,0.8515,0.8515
3.0300,-5.2000,0.8500,0.8500
2.9800,-5.2500,0.9000,0.9000
2.9300,-5.2500,0.9000,0.9000
2.8800,-5.2000,0.8500,0.8500
2.8300,-5.2000,0.8500,0.8500
2.7800,-5.2000,0.8500,0.8500
2.7300,-5.2000,0.8500,0.8500
2.6800,-5.2000,0.8515,0.8515
2.6300,-5.1500,0.8062,0.8062
2.5800,-5.1500,0.8139,0.8139
2.5300,-5.1500,0.8246,0.8246
2.4800,-5.1500,0.8382,0.8382
2.4300,-5.1500,0.8544,0.8544
2.3800,-5.1000,0.8276,0.8276
2.3300,-5.1000,0.8500,0.8500
2.2800,-5.1000,0.8500,0.8500
2.2300,-5.0500,0.8500,0.8500
2.1800,-5.0500,0.8500,0.8500
2.1300,-5.0000,0.8382,0.8382
2.0800,-5.0000,0.8500,0.8500
2.0300,-4.9500,0.8276,0.8276
1.9800,-4.9500,0.8500,0.8500
1.9300,-4.9500,0.8276,0.8276
1.8800,-4.9000,0.8500,0.8500
1.8300,-4.9000,0.8276,0.8276
1.7800,-4.9000,0.8078,0.8078
1.7300,-4.8500,0.8382,0.8382
1.6800,-4.8500,0.8246,0.8246
1.6300,-4.8000,0.8246,0.8246
1.5800,-4.7500,0.7906,0.7906
1.5300,-4.7500,0.8078,0.8078
1.4800,-4.7500,0.8276,0.8276
1.4300,-4.7000,0.8062,0.8062
1.3800,-4.7000,0.8276,0.8276
1.3300,-4.6500,0.8062,0.8062
1.2800,-4.6500,0.8201,0.8201
1.2300,-4.6000,0.8201,0.8201
1.1800,-4.6000,0.8062,0.8062
1.1300,-4.5500,0.8276,0.8276
1.0800,-4.5000,0.8201,0.8201
1.0300,-4.5000,0.8201,0.8201
0.9800,-4.4500,0.8322,0.8322
0.9300,-4.4500,0.8062,0.8062
0.8800,-4.4000,0.8276,0.8276
0.8300,-4.4000,0.8078,0.8078
0.7800,-4.3500,0.8382,0.8382
0.7300,-4.3500,0.8246,0.8246
0.6800,-4.3000,0.8544,0.8544
0.6300,-4.3000,0.8382,0.8382
0.5800,-4.2500,0.8732,0.8732
0.5300,-4.2500,0.8544,0.8544
0.4800,-4.2000,0.8860,0.8860
0.4300,-4.1500,0.9220,0.9220
0.3800,-4.1500,0.9124,0.9124
0.3300,-4.1000,0.9552,0.9552
0.2800,-4.1000,0.9487,0.9487
0.2300,-4.1000,0.9341,0.9341
0.1800,-4.0500,0.9708,0.9708
0.1300,-4.0500,0.9618,0.9618
0.0800,-4.0000,1.0050,1.0050
0.0300,-4.0000,0.9962,0.9962
-0.0200,-4.0000,0.9823,0.9823
-0.0700,-4.0000,0.9708,0.9708
-0.1200,-3.9500,1.0112,1.0112
-0.1700,-3.9500,0.9962,0.9962
