# x_m,y_m,w_tr_right_m,w_tr_left_m
4.4900,-3.3500,0.9220,0.9220
4.4900,-3.4000,0.9124,0.9124
4.4900,-3.4500,0.9014,0.9014
4.4900,-3.5000,0.8860,0.8860
4.4900,-3.5500,0.8732,0.8732
4.4400,-3.6000,0.8139,0.8139
4.4400,-3.6500,0.8062,0.8062
4.4400,-3.7000,0.8016,0.8016
4.4400,-3.7500,0.8000,0.8000
4.4400,-3.8000,0.8000,0.8000
4.4400,-3.8500,0.8000,0.8000
4.4400,-3.9000,0.8000,0.8000
4.3900,-3.9500,0.7500,0.7500
4.3900,-4.0000,0.7500,0.7500
4.3900,-4.0500,0.7500,0.7500
4.3900,-4.1000,0.7500,0.7500
4.3900,-4.1500,0.7500,0.7500
4.3400,-4.2000,0.7000,0.7000
4.3400,-4.2500,0.7000,0.7000
4.3400,-4.3000,0.7000,0.7000
4.3400,-4.3500,0.7000,0.7000
4.3400,-4.4000,0.7000,0.7000
4.3400,-4.4500,0.7000,0.7000
4.3400,-4.5000,0.7000,0.7000
4.2900,-4.5500,0.6500,0.6500
4.2900,-4.6000,0.6500,0.6500
4.2900,-4.6500,0.6519,0.6519
4.2900,-4.7000,0.6576,0.6576
4.2900,-4.7500,0.6671,0.6671
4.2900,-4.8000,0.6801,0.6801
4.2400,-4.8500,0.6500,0.6500
4.2400,-4.9000,0.6708,0.6708
4.2400,-4.9500,0.6946,0.6946
4.2400,-5.0000,0.7159,0.7159
4.1900,-5.0500,0.6946,0.6946
4.1900,-5.1000,0.7159,0.7159
4.1900,-5.1500,0.7211,0.7211
4.1400,-5.2000,0.7211,0.7211
4.0900,-5.2500,0.7106,0.7106
4.0900,-5.3000,0.7211,0.7211
4.0400,-5.3500,0.7106,0.7106
3.9900,-5.4000,0.7071,0.7071
3.9400,-5.4500,0.7106,0.7106
3.8900,-5.5000,0.7211,0.7211
3.8400,-5.5500,0.7382,0.7382
3.7900,-5.6000,0.7433,0.7433
3.7400,-5.6500,0.7433,0.7433
3.6900,-5.7000,0.7382,0.7382
3.6400,-5.7000,0.7382,0.7382
3.5900,-5.7500,0.7500,0.7500
3.5400,-5.7500,0.7211,0.7211
3.4900,-5.8000,0.7382,0.7382
3.4400,-5.8500,0.7616,0.7616
3.3900,-5.8500,0.7433,0.7433
3.3400,-5.9000,0.7762,0.7762
3.2900,-5.9000,0.7616,0.7616
3.2400,-5.9500,0.7826,0.7826
3.1900,-5.9500,0.7616,0.7616
3.1400,-5.9500,0.7433,0.7433
3.0900,-5.9500,0.7280,0.7280
3.0400,-6.0000,0.7649,0.7649
2.9900,-6.0000,0.7566,0.7566
2.9400,-6.0000,0.7517,0.7517
2.8900,-6.0000,0.7433,0.7433
2.8400,-6.0500,0.7762,0.7762
2.7900,-6.0500,0.7649,0.7649
2.7400,-6.0500,0.7566,0.7566
2.6900,-6.0500,0.7517,0.7517
2.6400,-6.0500,0.7500,0.7500
2.5900,-6.0500,0.7500,0.7500
2.5400,-6.1000,0.8000,0.8000
2.4900,-6.1000,0.8000,0.8000
2.4400,-6.1000,0.8000,0.8000
2.3900,-6.1000,0.8000,0.8000
2.3400,-6.1000,0.8000,0.8000
2.2900,-6.0500,0.7500,0.7500
2.2400,-6.0500,0.7500,0.7500
2.1900,-6.0500,0.7517,0.7517
2.1400,-6.0500,0.7566,0.7566
2.0900,-6.0000,0.7159,0.7159
2.0400,-6.0000,0.7280,0.7280
1.9900,-6.0000,0.7433,0.7433
1.9400,-5.9500,0.7159,0.7159
1.8900,-5.9500,0.7382,0.7382
1.8400,-5.9500,0.7616,0.7616
1.7900,-5.9500,0.7810,0.7810
1.7400,-5.9000,0.7632,0.7632
1.6900,-5.9000,0.7632,0.7632
1.6400,-5.8500,0.7810,0.7810
1.5900,-5.8500,0.7616,0.7616
1.5400,-5.8000,0.7778,0.7778
1.4900,-5.7500,0.7778,0.7778
1.4400,-5.7000,0.7632,0.7632
1.3900,-5.6500,0.7500,0.7500
1.3900,-5.6000,0.7778,0.7778
1.3400,-5.5500,0.7778,0.7778
1.2900,-5.5000,0.7632,0.7632
1.2400,-5.4500,0.7500,0.7500
1.2400,-5.4000,0.7500,0.7500
1.1900,-5.3500,0.7632,0.7632
1.1400,-5.3000,0.7778,0.7778
