# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.2100,2.2900,0.9618,0.9618
-2.2100,2.2400,0.9618,0.9618
-2.2600,2.1900,0.9708,0.9708
-2.2600,2.1400,0.9618,0.9618
-2.3100,2.0900,0.9849,0.9849
-2.3100,2.0400,0.9657,0.9657
-2.3600,1.9900,0.9962,0.9962
-2.3600,1.9400,0.9823,0.9823
-2.3600,1.8900,0.9618,0.9618
-2.3600,1.8400,0.9394,0.9394
-2.4100,1.7900,0.9657,0.9657
-2.4100,1.7400,0.9487,0.9487
-2.4100,1.6900,0.9341,0.9341
-2.4100,1.6400,0.9192,0.9192
-2.4600,1.5900,0.9487,0.9487
-2.4600,1.5400,0.9341,0.9341
-2.4600,1.4900,0.9220,0.9220
-2.4600,1.4400,0.9124,0.9124
-2.4600,1.3900,0.9055,0.9055
-2.4600,1.3400,0.9014,0.9014
-2.4600,1.2900,0.9000,0.9000
-2.4600,1.2400,0.9000,0.9000
-2.4600,1.1900,0.9000,0.9000
-2.4600,1.1400,0.9000,0.9000
-2.4100,1.0900,0.8500,0.8500
-2.4100,1.0400,0.8500,0.8500
-2.4100,0.9900,0.8500,0.8500
-2.4100,0.9400,0.8515,0.8515
-2.4100,0.8900,0.8559,0.8559
-2.3600,0.8400,0.8139,0.8139
-2.3600,0.7900,0.8246,0.8246
-2.3600,0.7400,0.8382,0.8382
-2.3600,0.6900,0.8544,0.8544
-2.3100,0.6400,0.8276,0.8276
-2.3100,0.5900,0.8500,0.8500
-2.3100,0.5400,0.8746,0.8746
-2.3100,0.4900,0.9014,0.9014
-2.2600,0.4400,0.8902,0.8902
-2.2600,0.3900,0.9014,0.9014
-2.2600,0.3400,0.8746,0.8746
-2.2100,0.2900,0.8944,0.8944
-2.1600,0.2400,0.9179,0.9179
-2.1100,0.1900,0.9301,0.9301
-2.0600,0.1400,0.9179,0.9179
-2.0100,0.1400,0.9220,0.9220
-1.9600,0.0900,0.9124,0.9124
-1.9100,0.0400,0.8732,0.8732
-1.8600,0.0400,0.8860,0.8860
-1.8100,0.0400,0.8944,0.8944
-1.7600,0.0400,0.8732,0.8732
-1.7100,0.0400,0.8500,0.8500
-1.6600,-0.0100,0.8732,0.8732
-1.6100,-0.0100,0.8544,0.8544
-1.5600,-0.0100,0.8382,0.8382
-1.5100,-0.0100,0.8246,0.8246
-1.4600,-0.0100,0.8139,0.8139
-1.4100,-0.0100,0.8062,0.8062
-1.3600,-0.0100,0.8016,0.8016
-1.3100,-0.0600,0.8062,0.8062
-1.2600,-0.0600,0.8016,0.8016
-1.2100,-0.0600,0.8000,0.8000
-1.1600,-0.0600,0.8000,0.8000
-1.1100,-0.0600,0.8000,0.8000
-1.0600,-0.0600,0.8000,0.8000
-1.0100,-0.0600,0.8000,0.8000
-0.9600,-0.0600,0.8000,0.8000
-0.9100,-0.0600,0.8000,0.8000
-0.8600,-0.0600,0.8000,0.8000
-0.8100,-0.0600,0.8000,0.8000
-0.7600,-0.0600,0.8000,0.8000
-0.7100,-0.0600,0.8000,0.8000
-0.6600,-0.0600,0.8000,0.8000
-0.6100,-0.0600,0.8000,0.8000
-0.5600,-0.0600,0.8000,0.8000
-0.5100,-0.0600,0.8000,0.8000
-0.4600,-0.0600,0.8000,0.8000
-0.4100,-0.0600,0.8000,0.8000
-0.3600,-0.0600,0.8000,0.8000
-0.3100,-0.0100,0.8500,0.8500
-0.2600,-0.0100,0.8500,0.8500
-0.2100,-0.0100,0.8500,0.8500
-0.1600,-0.0100,0.8500,0.8500
-0.1100,-0.0100,0.8500,0.8500
-0.0600,-0.0100,0.8500,0.8500
-0.0100,0.0400,0.9000,0.9000
0.0400,0.0400,0.9000,0.9000
0.0900,0.0400,0.9000,0.9000
0.1400,0.0400,0.9000,0.9000
0.1900,0.0400,0.9000,0.9000
0.2400,0.0400,0.9000,0.9000
0.2900,0.0400,0.9000,0.9000
0.3400,0.0400,0.9000,0.9000
0.3900,0.0400,0.9000,0.9000
0.4400,0.0400,0.9000,0.9000
0.4900,0.0400,0.9000,0.9000
0.5400,-0.0100,0.8500,0.8500
0.5900,-0.0100,0.8500,0.8500
0.6400,-0.0100,0.8500,0.8500
0.6900,-0.0100,0.8500,0.8500
0.7400,-0.0100,0.8500,0.8500
0.7900,-0.0100,0.8515,0.8515
