# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.5600,-20.1500,0.8139,0.8139
-0.5100,-20.1500,0.8246,0.8246
-0.4600,-20.1500,0.8382,0.8382
-0.4100,-20.1500,0.8500,0.8500
-0.3600,-20.1000,0.8000,0.8000
-0.3100,-20.1000,0.8000,0.8000
-0.2600,-20.1000,0.8000,0.8000
-0.2100,-20.1000,0.8000,0.8000
-0.1600,-20.1000,0.8000,0.8000
-0.1100,-20.1000,0.8000,0.8000
-0.0600,-20.1000,0.8000,0.8000
-0.0100,-20.0500,0.7517,0.7517
0.0400,-20.0500,0.7566,0.7566
0.0900,-20.0500,0.7649,0.7649
0.1400,-20.0500,0.7762,0.7762
0.1900,-20.0500,0.7906,0.7906
0.2400,-20.0500,0.8016,0.8016
0.2900,-20.0000,0.7566,0.7566
0.3400,-20.0000,0.7566,0.7566
0.3900,-19.9500,0.7159,0.7159
0.4400,-19.9000,0.6801,0.6801
0.4900,-19.8500,0.6500,0.6500
0.5400,-19.8000,0.6265,0.6265
0.5900,-19.7500,0.6103,0.6103
0.6400,-19.7000,0.6021,0.6021
0.6900,-19.6500,0.6021,0.6021
0.7400,-19.6000,0.5831,0.5831
0.7900,-19.5500,0.5590,0.5590
0.7900,-19.5000,0.5657,0.5657
0.8400,-19.4500,0.5657,0.5657
0.8900,-19.4000,0.5657,0.5657
0.9400,-19.3500,0.5701,0.5701
0.9900,-19.3000,0.5831,0.5831
1.0400,-19.2500,0.6042,0.6042
1.0400,-19.2000,0.5852,0.5852
1.0900,-19.1500,0.6185,0.6185
1.1400,-19.1000,0.6576,0.6576
1.1400,-19.0500,0.6519,0.6519
1.1400,-19.0000,0.6500,0.6500
1.1400,-18.9500,0.6325,0.6325
1.1400,-18.9000,0.6185,0.6185
1.1400,-18.8500,0.6083,0.6083
1.1400,-18.8000,0.6021,0.6021
1.1400,-18.7500,0.6000,0.6000
1.1400,-18.7000,0.6000,0.6000
1.1400,-18.6500,0.6000,0.6000
1.1400,-18.6000,0.6000,0.6000
1.1400,-18.5500,0.6000,0.6000
1.1400,-18.5000,0.6000,0.6000
1.1400,-18.4500,0.6000,0.6000
1.1400,-18.4000,0.6000,0.6000
1.1400,-18.3500,0.6000,0.6000
1.1400,-18.3000,0.6000,0.6000
1.1400,-18.2500,0.6021,0.6021
1.1400,-18.2000,0.6083,0.6083
1.1400,-18.1500,0.6185,0.6185
1.1400,-18.1000,0.6325,0.6325
1.1400,-18.0500,0.6500,0.6500
1.1400,-18.0000,0.6500,0.6500
1.1900,-17.9500,0.7018,0.7018
1.1900,-17.9000,0.7071,0.7071
1.1900,-17.8500,0.7159,0.7159
1.1900,-17.8000,0.7280,0.7280
1.1900,-17.7500,0.7433,0.7433
1.1900,-17.7000,0.7566,0.7566
1.1900,-17.6500,0.7517,0.7517
1.1900,-17.6000,0.7500,0.7500
1.1900,-17.5500,0.7500,0.7500
1.1900,-17.5000,0.7500,0.7500
1.1400,-17.4500,0.8000,0.8000
1.1400,-17.4000,0.8000,0.8000
1.0900,-17.3500,0.8062,0.8062
1.0900,-17.3000,0.8276,0.8276
1.0400,-17.2500,0.8201,0.8201
1.0400,-17.2000,0.8276,0.8276
0.9900,-17.1500,0.8322,0.8322
0.9900,-17.1000,0.8276,0.8276
0.9400,-17.0500,0.8500,0.8500
0.9400,-17.0000,0.8276,0.8276
0.8900,-16.9500,0.8500,0.8500
0.8400,-16.9000,0.8732,0.8732
0.8400,-16.8500,0.8500,0.8500
0.7900,-16.8000,0.8732,0.8732
0.7400,-16.7500,0.8944,0.8944
0.7400,-16.7000,0.8732,0.8732
0.6900,-16.6500,0.8944,0.8944
0.6400,-16.6000,0.9192,0.9192
0.5900,-16.5500,0.9487,0.9487
0.5400,-16.5000,0.9708,0.9708
0.4900,-16.4500,0.9862,0.9862
0.4400,-16.4000,0.9925,0.9925
0.3900,-16.3500,1.0000,1.0000
0.3400,-16.3500,0.9708,0.9708
0.2900,-16.3000,0.9862,0.9862
0.2400,-16.3000,0.9618,0.9618
0.1900,-16.2500,0.9849,0.9849
0.1400,-16.2500,0.9657,0.9657
0.0900,-16.2000,0.9962,0.9962
0.0400,-16.2000,0.9823,0.9823
-0.0100,-16.1500,1.0198,1.0198
-0.0600,-16.1500,1.0062,1.0062
-0.1100,-16.1000,1.0308,1.0308
-0.1600,-16.1000,1.0124,1.0124
-0.2100,-16.0500,1.0440,1.0440
-0.2600,-16.0500,1.0308,1.0308
-0.3100,-16.0000,1.0595,1.0595
-0.3600,-16.0000,1.0440,1.0440
-0.4100,-16.0000,1.0308,1.0308
-0.4600,-15.9500,1.0689,1.0689
-0.5100,-15.9500,1.0512,1.0512
-0.5600,-15.9000,1.0770,1.0770
-0.6100,-15.9000,1.0595,1.0595
-0.6600,-15.9000,1.0440,1.0440
-0.7100,-15.9000,1.0308,1.0308
-0.7600,-15.8500,1.0512,1.0512
-0.8100,-15.8500,1.0548,1.0548
-0.8600,-15.8500,1.0548,1.0548
-0.9100,-15.8500,1.0440,1.0440
-0.9600,-15.8500,1.0308,1.0308
-1.0100,-15.8500,1.0198,1.0198
-1.0600,-15.8000,1.0500,1.0500
-1.1100,-15.8000,1.0500,1.0500
-1.1600,-15.8000,1.0500,1.0500
