# x_m,y_m,w_tr_right_m,w_tr_left_m
4.1900,-13.1000,0.5590,0.5590
4.1400,-13.1500,0.5657,0.5657
4.1400,-13.2000,0.5701,0.5701
4.0900,-13.2500,0.5831,0.5831
4.0400,-13.3000,0.6021,0.6021
3.9900,-13.3500,0.5831,0.5831
3.9400,-13.4000,0.5701,0.5701
3.8900,-13.4000,0.5831,0.5831
3.8400,-13.4500,0.5831,0.5831
3.7900,-13.4500,0.5831,0.5831
3.7400,-13.4500,0.5590,0.5590
3.6900,-13.5000,0.5852,0.5852
3.6400,-13.5500,0.5701,0.5701
3.5900,-13.5500,0.5852,0.5852
3.5400,-13.6000,0.5590,0.5590
3.4900,-13.6000,0.5831,0.5831
3.4400,-13.6000,0.6042,0.6042
3.3900,-13.6000,0.5852,0.5852
3.3400,-13.6000,0.5701,0.5701
3.2900,-13.6000,0.5590,0.5590
3.2400,-13.6000,0.5523,0.5523
3.1900,-13.6500,0.6000,0.6000
3.1400,-13.6500,0.6000,0.6000
3.0900,-13.6500,0.6000,0.6000
3.0400,-13.6500,0.6000,0.6000
2.9900,-13.6500,0.6021,0.6021
2.9400,-13.7000,0.6500,0.6500
2.8900,-13.7000,0.6519,0.6519
2.8400,-13.6500,0.6325,0.6325
2.7900,-13.6500,0.6500,0.6500
2.7400,-13.6500,0.6576,0.6576
2.6900,-13.6500,0.6671,0.6671
2.6400,-13.6500,0.6576,0.6576
2.5900,-13.6500,0.6500,0.6500
2.5400,-13.6000,0.6708,0.6708
2.4900,-13.6000,0.6671,0.6671
2.4400,-13.6000,0.6576,0.6576
2.3900,-13.5500,0.6801,0.6801
2.3400,-13.5500,0.6801,0.6801
2.2900,-13.5500,0.6519,0.6519
2.2400,-13.5000,0.6708,0.6708
2.1900,-13.5000,0.6500,0.6500
2.1400,-13.4500,0.6801,0.6801
2.0900,-13.4500,0.6671,0.6671
2.0400,-13.4500,0.6576,0.6576
1.9900,-13.4000,0.6801,0.6801
1.9400,-13.4000,0.6708,0.6708
1.8900,-13.4000,0.6500,0.6500
1.8400,-13.3500,0.6500,0.6500
1.7900,-13.3500,0.6519,0.6519
1.7400,-13.3500,0.6500,0.6500
1.6900,-13.3000,0.6185,0.6185
1.6400,-13.3000,0.6185,0.6185
1.5900,-13.3000,0.6083,0.6083
1.5400,-13.3000,0.6021,0.6021
1.4900,-13.3000,0.6000,0.6000
1.4400,-13.3000,0.6000,0.6000
1.3900,-13.3000,0.6021,0.6021
1.3400,-13.3000,0.6000,0.6000
1.2900,-13.3000,0.6000,0.6000
1.2400,-13.3000,0.6000,0.6000
1.1900,-13.3000,0.6000,0.6000
1.1400,-13.3000,0.6000,0.6000
1.0900,-13.3000,0.6000,0.6000
1.0400,-13.3000,0.6000,0.6000
0.9900,-13.3000,0.6000,0.6000
0.9400,-13.3000,0.6000,0.6000
0.8900,-13.3000,0.6000,0.6000
0.8400,-13.3000,0.6000,0.6000
0.7900,-13.3000,0.6021,0.6021
0.7400,-13.3000,0.6083,0.6083
0.6900,-13.3000,0.6185,0.6185
0.6400,-13.3000,0.6325,0.6325
0.5900,-13.2500,0.6185,0.6185
0.5400,-13.2500,0.6325,0.6325
0.4900,-13.2500,0.6500,0.6500
0.4400,-13.2500,0.6576,0.6576
0.3900,-13.2500,0.6671,0.6671
0.3400,-13.2500,0.6500,0.6500
0.2900,-13.2500,0.6325,0.6325
0.2400,-13.2500,0.6185,0.6185
0.1900,-13.2500,0.6083,0.6083
0.1400,-13.2500,0.6021,0.6021
0.0900,-13.2500,0.6000,0.6000
0.0400,-13.2500,0.6000,0.6000
-0.0100,-13.3000,0.5523,0.5523
-0.0600,-13.3000,0.5590,0.5590
-0.1100,-13.3000,0.5701,0.5701
-0.1600,-13.3000,0.5852,0.5852
-0.2100,-13.3000,0.5701,0.5701
-0.2600,-13.3000,0.5590,0.5590
-0.3100,-13.3000,0.5523,0.5523
-0.3600,-13.3000,0.5500,0.5500
-0.4100,-13.3000,0.5500,0.5500
-0.4600,-13.3000,0.5500,0.5500
-0.5100,-13.3000,0.5500,0.5500
-0.5600,-13.3000,0.5500,0.5500
-0.6100,-13.3000,0.5500,0.5500
-0.6600,-13.3000,0.5523,0.5523
-0.7100,-13.3000,0.5500,0.5500
-0.7600,-13.3000,0.5500,0.5500
-0.8100,-13.3000,0.5523,0.5523
-0.8600,-13.3000,0.5590,0.5590
-0.9100,-13.3000,0.5701,0.5701
-0.9600,-13.3000,0.5852,0.5852
-1.0100,-13.3000,0.6000,0.6000
-1.0600,-13.3000,0.6000,0.6000
-1.1100,-13.3000,0.6000,0.6000
-1.1600,-13.3000,0.5831,0.5831
-1.2100,-13.2500,0.6042,0.6042
-1.2600,-13.2500,0.5852,0.5852
-1.3100,-13.2500,0.5701,0.5701
-1.3600,-13.2000,0.6083,0.6083
-1.4100,-13.2000,0.6021,0.6021
-1.4600,-13.1500,0.6500,0.6500
-1.5100,-13.1000,0.6946,0.6946
-1.5600,-13.0500,0.7071,0.7071
-1.6100,-13.0000,0.6946,0.6946
-1.6600,-12.9500,0.6708,0.6708
-1.6600,-12.9000,0.6946,0.6946
-1.7100,-12.8500,0.6708,0.6708
-1.7100,-12.8000,0.6946,0.6946
-1.7100,-12.7500,0.6708,0.6708
-1.7100,-12.7000,0.6500,0.6500
-1.7100,-12.6500,0.6325,0.6325
-1.7600,-12.6000,0.6671,0.6671
-1.7600,-12.5500,0.6576,0.6576
-1.7600,-12.5000,0.6519,0.6519
-1.7600,-12.4500,0.6500,0.6500
-1.7600,-12.4000,0.6500,0.6500
-1.8100,-12.3500,0.7000,0.7000
-1.8100,-12.3000,0.7000,0.7000
-1.8100,-12.2500,0.7000,0.7000
-1.8100,-12.2000,0.7000,0.7000
-1.8100,-12.1500,0.7000,0.7000
-1.8100,-12.1000,0.7000,0.7000
-1.8100,-12.0500,0.7000,0.7000
-1.8100,-12.0000,0.7000,0.7000
-1.8100,-11.9500,0.7000,0.7000
-1.8100,-11.9000,0.7000,0.7000
-1.8100,-11.8500,0.7000,0.7000
-1.8100,-11.8000,0.6964,0.6964
-1.8100,-11.7500,0.6801,0.6801
-1.7600,-11.7000,0.7159,0.7159
-1.7600,-11.6500,0.7071,0.7071
-1.7600,-11.6000,0.7018,0.7018
-1.7600,-11.5500,0.7000,0.7000
-1.7100,-11.5000,0.7159,0.7159
-1.7100,-11.4500,0.7280,0.7280
-1.7100,-11.4000,0.7433,0.7433
-1.7100,-11.3500,0.7280,0.7280
-1.7100,-11.3000,0.7159,0.7159
-1.6600,-11.2500,0.7433,0.7433
-1.6600,-11.2000,0.7433,0.7433
-1.6600,-11.1500,0.7280,0.7280
-1.6600,-11.1000,0.7159,0.7159
